name,subvis,year,journal,title,url
1-nyt-16-president,2,2016,NYT,Presidential Election Results: Donald J. Trump Wins,https://www.nytimes.com/elections/results/president
2-nyt-16-republican,1,2016,NYT,How Every New York City Neighborhood Voted in the Republican Primary,https://www.nytimes.com/interactive/2016/04/19/us/elections/new-york-city-republican-primary-results.html#11/40.7100/-73.9800
3-nyt-16-candidates,1,2016,NYT,"Detailed Maps of Where Trump, Cruz, Clinton and Sanders Have Wo",https://www.nytimes.com/elections/2016/national-results-map
4-nyt-16-sunnyday,2,2016,NYT,A Sharp Increase In ‘Sunny Day’ Flooding,https://www.nytimes.com/interactive/2016/09/04/science/global-warming-increases-nuisance-flooding.html
5-nyt-16-stephencurry,1,2016,NYT,Stephen Curry’s 3-Point Record in Context: Off the Charts,https://www.nytimes.com/interactive/2016/04/16/upshot/stephen-curry-golden-state-warriors-3-pointers.html
6-nyt-16-europe,2,2016,NYT,How Far Is Europe Swinging to the Right?,https://www.nytimes.com/interactive/2016/05/22/world/europe/europe-right-wing-austria-hungary.html
7-nyt-16-school,3,2016,NYT,"Money, Race and Success: How Your School District Compares",https://www.nytimes.com/interactive/2016/04/29/upshot/money-race-and-success-how-your-school-district-compares.html
8-nyt-16-warmer,1,2016,NYT,How Much Warmer Was Your City in 2015?,https://www.nytimes.com/interactive/2016/02/19/us/2015-year-in-weather-temperature-precipitation.html
9-nyt-16-voter,1,2016,NYT,What’s Driving Trump and Clinton Voters to the Polls,https://www.nytimes.com/interactive/2016/04/05/us/elections/state-voter-histograms.html
10-nyt-16-party,1,2016,NYT,"Which Issues Each Party Debates, or Ignores",https://www.nytimes.com/interactive/2016/03/11/us/elections/what-parties-debate-or-ignore.html
11-nyt-16-trumpinsult,3,2016,NYT,How to Know What Donald Trump Really Cares About: Look at What He’s Insulting,https://www.nytimes.com/interactive/2016/12/06/upshot/how-to-know-what-donald-trump-really-cares-about-look-at-who-hes-insulting.html
12-nyt-16-culturedivide,3,2016,NYT,‘Duck Dynasty’ vs. ‘Modern Family’: 50 Maps of the U.S. Cultural Divide,https://www.nytimes.com/interactive/2016/12/26/upshot/duck-dynasty-vs-modern-family-television-maps.html
13-nyt-16-coldmath,1,2016,NYT,"The Cold Hard Math of How Trump Can Win, and How Rubio Can Stop Him",https://www.nytimes.com/interactive/2016/02/27/upshot/republican-delegate-calculator-how-trump-can-win.html
14-nyt-16-manhattan,1,2016,NYT,Which Buildings in Manhattan Couldn't Be Built Today?,https://www.nytimes.com/interactive/2016/05/18/upshot/which-buildings-in-manhattan-couldnt-be-built-again-today.html
15-nyt-16-florida,4,2016,NYT,Latest Upshot Poll Shows Trump With a Lead in Florida,https://www.nytimes.com/interactive/2016/10/30/upshot/florida-poll.html
16-nyt-16-epidemic,4,2016,NYT,How the Epidemic of Drug Overdose Deaths Rippled Across America,https://www.nytimes.com/interactive/2016/01/07/us/drug-overdose-deaths-in-the-us.html
17-nyt-16-chicago,4,2016,NYT,Chicago’s Murder Problem,https://www.nytimes.com/interactive/2016/05/18/us/chicago-murder-problem.html
18-nyt-16-murder,6,2016,NYT,Murder Rates Rose in a Quarter of the Nation’s 100 Largest Cities,https://www.nytimes.com/interactive/2016/09/08/us/us-murder-rates.html
19-nyt-16-glassceiling,2,2016,NYT,Hillary Clinton Broke One Glass Ceiling. When Were Others Broken?,https://www.nytimes.com/interactive/2016/07/25/us/politics/political-firsts.html
20-nyt-16-muslim,1,2016,NYT,Millions Could Be Blocked From Entering the U.S. Depending on How Trump Would Enforce a Ban on Muslim Immigration,https://www.nytimes.com/interactive/2016/07/22/us/politics/trump-immigration-ban-how-could-it-work.html
